id,area,title,priority,status,target_milestone,source_document,acceptance_summary
CTX-001,Context,Evolve the existing application rather than rewrite it,Must,Draft,M0-M9,adr/0001-evolution-not-rewrite.md,"New work uses audited seams, adapters, and characterization tests unless an accepted ADR justifies replacement."
CTX-002,Context,Preserve supported current maps and workflows,Must,Draft,M0-M9,docs/04-target-architecture-and-migration.md,Current supported files and core workflows remain available or follow an approved migration/deprecation process.
CTX-003,Context,Audit repository before architecture implementation,Must,Draft,M0,docs/02-current-state-assessment-and-repository-audit.md,A reproducible repository audit and compatibility matrix exist before major feature work.
MOD-001,Model,Strategic graph is the durable source of truth,Must,Draft,M2,adr/0002-strategic-graph-is-source-of-truth.md,"Nodes, edges, identity, metadata, and lifecycle are not owned by renderer coordinates."
MOD-002,Model,Use stable identifiers,Must,Draft,M1,adr/0003-stable-identifiers-and-schema-versioning.md,"Durable entities retain identity across rename, reorder, views, keyframes, save, and load."
MOD-003,Model,Store position in views or projection output,Must,Draft,M2,adr/0005-projections-are-separated-from-domain-graph.md,A node does not have one universal screen coordinate; current coordinates map to a default Wardley view.
MOD-004,Model,Resolve a renderer-neutral display graph,Must,Draft,M2,docs/04-target-architecture-and-migration.md,"Renderer input expresses visible entities, proxy nodes, bundles, normalized coordinates, and provenance without mutating the domain graph."
FMT-001,File format,Version advanced persisted documents,Must,Draft,M1,docs/05-file-format-and-versioning.md,Advanced documents include an explicit schema version and supported-version diagnostics.
FMT-002,File format,Use sequential deterministic migrations,Must,Draft,M1,docs/05-file-format-and-versioning.md,Each supported source version migrates through tested sequential transformations.
FMT-003,File format,Serialize deterministically,Must,Draft,M1,docs/05-file-format-and-versioning.md,Equivalent state produces equivalent canonical output apart from declared variable fields.
FMT-004,File format,Preserve unknown compatible data,Must,Draft,M1,docs/05-file-format-and-versioning.md,Readers/writers preserve unknown compatible fields where the selected format permits.
FMT-005,File format,Report lossy legacy export,Must,Draft,M1,docs/05-file-format-and-versioning.md,Flattening or unsupported advanced features are reported before export.
CMP-001,Composite,Create composite from valid multi-selection,Must,Draft,M3,docs/06-feature-composite-nodes.md,A user can create a named composite from arbitrary valid selected nodes.
CMP-002,Composite,Preserve member graph data,Must,Draft,M3,docs/06-feature-composite-nodes.md,Composite creation does not remove member nodes or original edges.
CMP-003,Composite,Collapse in active view only,Must,Draft,M3,docs/06-feature-composite-nodes.md,Collapse hides members/internal edges only in the active view and displays a proxy.
CMP-004,Composite,Expand losslessly,Must,Draft,M3,docs/06-feature-composite-nodes.md,"Expand restores exact member identity, topology, and stored view state."
CMP-005,Composite,Trace boundary edge provenance,Must,Draft,M3,docs/06-feature-composite-nodes.md,Every displayed bundle retains all represented original edge IDs.
CMP-006,Composite,Support undo and redo,Must,Draft,M3,docs/06-feature-composite-nodes.md,"Create, collapse, expand, dissolve, and membership edits are atomic and reversible."
CMP-007,Composite,Persist composites,Must,Draft,M3,docs/06-feature-composite-nodes.md,"Save and reload preserve definitions, membership, policies, and view collapse state."
CMP-008,Composite,Support duplicate labels,Must,Draft,M3,docs/06-feature-composite-nodes.md,Composite behaviour relies on stable IDs rather than labels.
CMP-009,Composite,Reject membership cycles,Should,Draft,M3,docs/06-feature-composite-nodes.md,Cyclic or missing composite references produce actionable diagnostics.
CMP-010,Composite,Resolve nested collapse deterministically,Should,Draft,M3,docs/06-feature-composite-nodes.md,Ancestor/descendant collapse state follows a defined precedence.
CMP-011,Composite,Apply explicit proxy position policy,Should,Draft,M3,docs/06-feature-composite-nodes.md,Composite proxy placement follows declared policy and supports manual override.
CMP-012,Composite,Aggregate metrics by definition,Should,Draft,M3,docs/06-feature-composite-nodes.md,Composite metrics use per-metric aggregation rather than an assumed mean.
CMP-013,Composite,Diagnose legacy flattening,Should,Draft,M3,docs/06-feature-composite-nodes.md,Legacy export reports chosen abstraction/flattening and lost semantics.
CMP-014,Composite,Keyboard collapse and expand,Should,Draft,M3,docs/06-feature-composite-nodes.md,Composite commands can be completed without a pointer.
CMP-015,Composite,Accessible alternative to lasso,Should,Draft,M3,docs/06-feature-composite-nodes.md,A searchable/list-based selection route exists.
CMP-016,Composite,Meet audited interaction budget,Should,Draft,M3,docs/06-feature-composite-nodes.md,Composite resolution remains responsive for the representative medium corpus.
TMP-001,Temporal,Manage keyframes,Must,Draft,M4,docs/07-feature-temporal-maps.md,"Create, rename, move, and delete keyframes."
TMP-002,Temporal,Resolve exact time deterministically,Must,Draft,M4,docs/07-feature-temporal-maps.md,Scrubbing or direct input returns the same semantic state for the same inputs.
TMP-003,Temporal,Interpolate positions by policy,Must,Draft,M4,docs/07-feature-temporal-maps.md,Normalized positions use the declared easing and transition rule.
TMP-004,Temporal,Handle categorical and text transitions explicitly,Must,Draft,M4,docs/07-feature-temporal-maps.md,Non-numeric values use declared step or cross-fade behaviour.
TMP-005,Temporal,Preserve lifecycle across time,Must,Draft,M4,docs/07-feature-temporal-maps.md,Earlier and later states retain correct node and edge existence/status.
TMP-006,Temporal,Create keyframe for intermediate edits,Must,Draft,M4,docs/07-feature-temporal-maps.md,Editing between keyframes is explicit and never silently mutates a neighbour.
TMP-007,Temporal,Persist and undo timeline edits,Must,Draft,M4,docs/07-feature-temporal-maps.md,Timeline authoring survives reload and participates in undo/redo.
