requirement_id,source_document,planned_test_ids,fixture_ids,implementation_status,notes
CTX-001,adr/0001-evolution-not-rewrite.md,AUD-BASE-001; E2E-LEGACY-001,Current working tree,In progress,Audit and bounded characterization preserve current architecture; owner review remains.
CTX-002,docs/04-target-architecture-and-migration.md,AUD-BASE-001; API-ROUNDTRIP-001; E2E-LEGACY-001,Existing fixtures; synthetic API record,In progress,Current tests and API round trip protect semantics; browser journey remains.
CTX-003,docs/02-current-state-assessment-and-repository-audit.md,AUD-BASE-001; E2E-LEGACY-001,Current working tree,Implemented,Repository audit report and compatibility matrix completed under AUD-EPIC-000.
MOD-001,adr/0002-strategic-graph-is-source-of-truth.md,UT-MODEL-001; RT-NATIVE-001,TBD after audit,Not started,Refine after repository audit.
MOD-002,adr/0003-stable-identifiers-and-schema-versioning.md,UT-MODEL-001; RT-NATIVE-001,TBD after audit,Not started,Refine after repository audit.
MOD-003,adr/0005-projections-are-separated-from-domain-graph.md,UT-MODEL-001; RT-NATIVE-001,TBD after audit,Not started,Refine after repository audit.
MOD-004,docs/04-target-architecture-and-migration.md,UT-MODEL-001; RT-NATIVE-001,TBD after audit,Not started,Refine after repository audit.
FMT-001,docs/05-file-format-and-versioning.md,MIG-MATRIX-001; RT-NATIVE-001; RT-LEGACY-001,SYN-012,Not started,Refine after repository audit.
FMT-002,docs/05-file-format-and-versioning.md,MIG-MATRIX-001; RT-NATIVE-001; RT-LEGACY-001,SYN-012,Not started,Refine after repository audit.
FMT-003,docs/05-file-format-and-versioning.md,MIG-MATRIX-001; RT-NATIVE-001; RT-LEGACY-001,SYN-012,Not started,Refine after repository audit.
FMT-004,docs/05-file-format-and-versioning.md,MIG-MATRIX-001; RT-NATIVE-001; RT-LEGACY-001,SYN-012,Not started,Refine after repository audit.
FMT-005,docs/05-file-format-and-versioning.md,MIG-MATRIX-001; RT-NATIVE-001; RT-LEGACY-001,SYN-012,Not started,Refine after repository audit.
CMP-001,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-002,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-003,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-004,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-005,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-006,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-007,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-008,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-009,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-010,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
CMP-011,docs/06-feature-composite-nodes.md,UT-CMP-001; PBT-CMP-001; INT-CMP-001; E2E-CMP-001,SYN-003; SYN-004,Not started,Refine after repository audit.
